1             2     3          4          5       6                    7          8             9                    10             11                 12                13             14              15                 16             17
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: batchSize","Param: forceSafe","Param: intKey","Param: metaSync","Param: num","Param: sequential","Param: sync","Param: valRandom","Param: valSize","Param: writeMap"
"org.lmdbjava.bench.Chronicle.readKey","sample",1,18,640.854699,63.434150,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.Chronicle.readKey","sample",1,18,683.147264,65.433158,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.Chronicle.readKey","sample",1,9,1823.124139,238.614952,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.Chronicle.readKey","sample",1,9,1825.221291,200.960286,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.Chronicle.write","sample",1,15,907.018240,58.491384,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.Chronicle.write","sample",1,9,1089.237447,129.364113,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.Chronicle.write","sample",1,9,2018.858325,235.530681,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.Chronicle.write","sample",1,9,1969.458745,226.577339,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.LevelDb.readCrc","sample",1,9,1446.335829,117.715896,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.LevelDb.readCrc","sample",1,9,1427.228444,89.208325,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.LevelDb.readCrc","sample",1,9,1399.033401,144.429542,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.LevelDb.readCrc","sample",1,9,1564.475392,206.342129,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.LevelDb.readKey","sample",1,9,2971.431367,168.868294,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.LevelDb.readKey","sample",1,9,3237.536654,207.068966,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.LevelDb.readKey","sample",1,9,2944.401408,237.035265,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.LevelDb.readKey","sample",1,9,4795.487573,517.795020,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.LevelDb.readRev","sample",1,9,11708.632633,453.602101,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.LevelDb.readRev","sample",1,9,12920.320455,3393.819562,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.LevelDb.readRev","sample",1,9,9106.300018,149.035384,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.LevelDb.readRev","sample",1,9,12267.873166,2696.739608,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.LevelDb.readSeq","sample",1,9,1372.702492,194.770735,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.LevelDb.readSeq","sample",1,9,1323.302912,188.483198,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.LevelDb.readSeq","sample",1,9,1323.302912,171.952526,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.LevelDb.readSeq","sample",1,9,1389.246692,198.387675,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.LevelDb.readXxh64","sample",1,9,1431.422748,134.381046,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.LevelDb.readXxh64","sample",1,9,1375.498695,130.908954,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.LevelDb.readXxh64","sample",1,9,1335.652807,229.220374,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.LevelDb.readXxh64","sample",1,9,1504.590052,218.475404,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.LevelDb.write","sample",1,36,302.332132,24.881860,"ms/op",1000000,,true,,1000000,true,,false,100,
