"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: forceSafe","Param: intKey","Param: metaSync","Param: num","Param: sequential","Param: sync","Param: valRandom","Param: valSize","Param: writeMap"
"org.lmdbjava.bench.LmdbJavaAgrona.readCrc","sample",1,75,124.048288,8.834005,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readCrc","sample",1,84,114.223006,10.541962,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaAgrona.readKey","sample",1,90,104.749830,6.409284,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readKey","sample",1,86,110.175161,6.767074,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaAgrona.readRev","sample",1,266,34.486472,1.261051,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readRev","sample",1,274,33.285352,1.262006,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaAgrona.readSeq","sample",1,235,39.020692,1.504114,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readSeq","sample",1,219,41.639899,1.956248,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaAgrona.readXxh64","sample",1,128,72.284672,4.975329,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readXxh64","sample",1,135,68.404535,3.917674,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,52,168.551030,14.306914,"ms/op",,true,true,1000000,true,true,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,47,192.062311,15.659918,"ms/op",,true,true,1000000,true,true,false,100,false
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,59,152.807736,14.069372,"ms/op",,true,true,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,47,198.247794,17.299170,"ms/op",,true,true,1000000,true,false,false,100,false
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,56,161.890304,16.620653,"ms/op",,true,false,1000000,true,true,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,48,188.263083,20.227175,"ms/op",,true,false,1000000,true,true,false,100,false
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,63,141.295616,9.448312,"ms/op",,true,false,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,50,182.939812,14.967860,"ms/op",,true,false,1000000,true,false,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.readCrc","sample",1,74,127.579108,10.725496,"ms/op",true,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readCrc","sample",1,76,124.120010,9.784127,"ms/op",true,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.readCrc","sample",1,94,101.158302,6.265849,"ms/op",false,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readCrc","sample",1,92,104.162349,7.160118,"ms/op",false,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.readKey","sample",1,66,149.501518,8.523158,"ms/op",true,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readKey","sample",1,61,156.057331,12.077434,"ms/op",true,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.readKey","sample",1,83,113.386755,7.706460,"ms/op",false,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readKey","sample",1,96,98.525184,2.893849,"ms/op",false,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.readRev","sample",1,149,63.163949,4.010154,"ms/op",true,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readRev","sample",1,137,68.077075,4.719455,"ms/op",true,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.readRev","sample",1,262,35.140178,1.326998,"ms/op",false,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readRev","sample",1,263,34.527131,1.269813,"ms/op",false,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.readSeq","sample",1,133,70.068825,3.983836,"ms/op",true,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readSeq","sample",1,132,70.219838,4.123592,"ms/op",true,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.readSeq","sample",1,219,41.947230,1.635193,"ms/op",false,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readSeq","sample",1,210,44.053923,1.981838,"ms/op",false,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.readXxh64","sample",1,92,102.307395,7.717683,"ms/op",true,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readXxh64","sample",1,95,99.414663,6.916697,"ms/op",true,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.readXxh64","sample",1,128,73.089024,4.651468,"ms/op",false,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readXxh64","sample",1,138,67.815988,3.175126,"ms/op",false,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.write","sample",1,54,167.126509,15.720712,"ms/op",,true,true,1000000,true,true,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.write","sample",1,49,181.895837,13.846528,"ms/op",,true,true,1000000,true,true,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.write","sample",1,57,158.185508,13.042538,"ms/op",,true,true,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.write","sample",1,44,214.314636,19.151246,"ms/op",,true,true,1000000,true,false,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.write","sample",1,59,150.883866,12.469158,"ms/op",,true,false,1000000,true,true,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.write","sample",1,46,198.083985,19.070588,"ms/op",,true,false,1000000,true,true,false,100,false
"org.lmdbjava.bench.LmdbJavaByteBuffer.write","sample",1,56,161.043017,14.070594,"ms/op",,true,false,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.write","sample",1,49,186.341585,16.567097,"ms/op",,true,false,1000000,true,false,false,100,false
"org.lmdbjava.bench.LmdbJni.readCrc","sample",1,96,98.871979,6.346056,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readCrc","sample",1,70,136.425355,9.304875,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJni.readKey","sample",1,90,103.704166,6.457113,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readKey","sample",1,82,113.853615,7.678244,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJni.readRev","sample",1,289,31.560006,1.363243,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readRev","sample",1,281,32.488714,1.348508,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJni.readSeq","sample",1,200,46.148157,1.337301,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readSeq","sample",1,230,40.073839,1.870928,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJni.readXxh64","sample",1,137,68.084729,3.876377,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJni.readXxh64","sample",1,135,69.054555,3.697270,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbJni.write","sample",1,55,165.937152,14.910053,"ms/op",,true,true,1000000,true,true,false,100,true
"org.lmdbjava.bench.LmdbJni.write","sample",1,45,207.070458,16.055042,"ms/op",,true,true,1000000,true,true,false,100,false
"org.lmdbjava.bench.LmdbJni.write","sample",1,57,157.511752,16.244552,"ms/op",,true,true,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbJni.write","sample",1,46,202.369469,16.502854,"ms/op",,true,true,1000000,true,false,false,100,false
"org.lmdbjava.bench.LmdbJni.write","sample",1,56,160.558519,12.408486,"ms/op",,true,false,1000000,true,true,false,100,true
"org.lmdbjava.bench.LmdbJni.write","sample",1,49,188.604583,15.023410,"ms/op",,true,false,1000000,true,true,false,100,false
"org.lmdbjava.bench.LmdbJni.write","sample",1,59,154.669403,12.463691,"ms/op",,true,false,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbJni.write","sample",1,48,197.804032,14.546011,"ms/op",,true,false,1000000,true,false,false,100,false
"org.lmdbjava.bench.LmdbLwjgl.byteBufferByte2BH","sample",1,2244,4.017920,0.075468,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.byteBufferByte2BH","sample",1,2558,3.522771,0.043016,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbLwjgl.byteBufferObject2BH","sample",1,3160,2.851016,0.036294,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.byteBufferObject2BH","sample",1,3139,2.868498,0.039636,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbLwjgl.readCrc","sample",1,102,91.540942,5.986488,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.readCrc","sample",1,101,91.817883,6.044682,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbLwjgl.readKey","sample",1,96,96.869035,7.453716,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.readKey","sample",1,97,97.643235,6.386426,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbLwjgl.readRev","sample",1,273,33.422400,1.531504,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.readRev","sample",1,317,28.772578,1.622832,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbLwjgl.readSeq","sample",1,217,42.341692,2.261430,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.readSeq","sample",1,209,43.948159,2.510875,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbLwjgl.readXxh64","sample",1,144,64.214357,3.439031,"ms/op",,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.readXxh64","sample",1,145,63.658507,2.721473,"ms/op",,true,,1000000,true,,false,100,false
"org.lmdbjava.bench.LmdbLwjgl.write","sample",1,59,147.878096,12.886540,"ms/op",,true,true,1000000,true,true,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.write","sample",1,49,181.483896,16.768366,"ms/op",,true,true,1000000,true,true,false,100,false
"org.lmdbjava.bench.LmdbLwjgl.write","sample",1,60,148.240247,13.830005,"ms/op",,true,true,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.write","sample",1,46,191.444903,13.533368,"ms/op",,true,true,1000000,true,false,false,100,false
"org.lmdbjava.bench.LmdbLwjgl.write","sample",1,57,156.929976,13.702922,"ms/op",,true,false,1000000,true,true,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.write","sample",1,49,184.640324,16.762722,"ms/op",,true,false,1000000,true,true,false,100,false
"org.lmdbjava.bench.LmdbLwjgl.write","sample",1,60,148.613803,13.422789,"ms/op",,true,false,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.write","sample",1,51,171.169752,11.443573,"ms/op",,true,false,1000000,true,false,false,100,false
