"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: batchSize","Param: forceSafe","Param: intKey","Param: metaSync","Param: num","Param: sequential","Param: sync","Param: valRandom","Param: valSize","Param: writeMap"
"org.lmdbjava.bench.Chronicle.readKey","sample",1,18,613.912121,83.946576,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.Chronicle.readKey","sample",1,18,634.504988,73.808488,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.Chronicle.readKey","sample",1,17,833.494558,91.539929,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.Chronicle.readKey","sample",1,13,942.589164,136.265880,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.Chronicle.write","sample",1,18,836.705394,98.396584,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.Chronicle.write","sample",1,14,894.510226,156.580652,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.Chronicle.write","sample",1,10,1115.265434,139.822462,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.Chronicle.write","sample",1,9,1186.988032,164.957799,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.LevelDb.readCrc","sample",1,9,1379.226965,196.317966,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.LevelDb.readCrc","sample",1,9,1383.887303,252.334970,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.LevelDb.readCrc","sample",1,9,1189.551218,179.018915,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.LevelDb.readCrc","sample",1,9,1521.134251,207.130600,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.LevelDb.readKey","sample",1,9,2223.447154,232.390638,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.LevelDb.readKey","sample",1,9,2476.037461,288.548398,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.LevelDb.readKey","sample",1,9,1371.537408,220.243898,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.LevelDb.readKey","sample",1,9,3212.370830,591.323509,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.LevelDb.readRev","sample",1,9,6265.358108,191.920324,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.LevelDb.readRev","sample",1,9,6442.450944,277.131827,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.LevelDb.readRev","sample",1,9,6064.031516,229.306146,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.LevelDb.readRev","sample",1,9,6483.461916,252.012795,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.LevelDb.readSeq","sample",1,9,1272.272213,245.736861,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.LevelDb.readSeq","sample",1,9,1232.659342,210.894676,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.LevelDb.readSeq","sample",1,10,1106.142822,129.403273,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.LevelDb.readSeq","sample",1,9,1270.408078,229.959661,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.LevelDb.readXxh64","sample",1,9,1311.186034,263.195842,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.LevelDb.readXxh64","sample",1,9,1279.262720,195.858780,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.LevelDb.readXxh64","sample",1,9,1211.338297,189.767372,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.LevelDb.readXxh64","sample",1,9,1334.254706,177.205980,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.LevelDb.write","sample",1,9,1962.701255,222.093078,"ms/op",1000000,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.LevelDb.write","sample",1,9,2089.462443,274.158127,"ms/op",1000000,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.LevelDb.write","sample",1,9,1188.619150,198.424189,"ms/op",1000000,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.LevelDb.write","sample",1,9,2494.678812,380.765311,"ms/op",1000000,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.LmdbJavaAgrona.readCrc","sample",1,66,147.741975,11.074944,"ms/op",,,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readCrc","sample",1,60,167.241318,15.093516,"ms/op",,,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readCrc","sample",1,69,138.873633,11.685984,"ms/op",,,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readCrc","sample",1,59,164.701965,16.591159,"ms/op",,,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readKey","sample",1,85,109.745815,6.896489,"ms/op",,,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readKey","sample",1,18,648.019968,62.473744,"ms/op",,,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readKey","sample",1,30,361.444147,38.190560,"ms/op",,,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readKey","sample",1,13,1062.933425,173.726215,"ms/op",,,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readRev","sample",1,253,36.182089,1.522497,"ms/op",,,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readRev","sample",1,150,61.485438,2.841901,"ms/op",,,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readRev","sample",1,244,37.502170,1.559758,"ms/op",,,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readRev","sample",1,141,65.782341,3.770884,"ms/op",,,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readSeq","sample",1,214,43.376563,1.930933,"ms/op",,,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readSeq","sample",1,137,67.849851,3.295854,"ms/op",,,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readSeq","sample",1,219,42.019349,1.763529,"ms/op",,,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readSeq","sample",1,124,75.032378,4.331480,"ms/op",,,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readXxh64","sample",1,134,70.499129,4.020357,"ms/op",,,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readXxh64","sample",1,96,97.094315,5.665699,"ms/op",,,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readXxh64","sample",1,126,73.444531,4.341578,"ms/op",,,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.readXxh64","sample",1,89,106.239011,8.394041,"ms/op",,,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,55,165.403331,13.726664,"ms/op",,,true,false,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,16,807.075840,81.868451,"ms/op",,,true,false,1000000,false,false,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,27,387.740103,41.395851,"ms/op",,,false,false,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbJavaAgrona.write","sample",1,9,1288.117362,219.111628,"ms/op",,,false,false,1000000,false,false,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readCrc","sample",1,92,103.874560,7.277380,"ms/op",,false,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readCrc","sample",1,79,120.100112,7.418335,"ms/op",,false,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbJavaByteBuffer.readCrc","sample",1,62,150.200056,12.741343,"ms/op",,false,false,,1000000,true,,false,100,true
